nic_code,nic_description
1111,growing of wheat
1112,"growing of jowar, bajra and millets"
1113,growing of other cereals
1114,"growing of pulses (dal) and other leguminous crops such as peas and beans, not used as oilseeds"
1115,growing of mustard oil seed
1116,growing of groundnut oil seed
1117,growing of sunflower oil seed
1118,growing of soya bean oil seed
1119,growing of other oil seeds
1121,organic farming of basmati rice
1122,organic farming of non-basmati rice
1123,inorganic farming of basmati rice
1124,inorganic farming of non-basmati rice
1131,"growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory, spinach and other leafy or stem vegetables"
1132,"growing of cucumbers, gherkins, aubergines, tomatoes, watermelons, cantaloupes , melons and other fruit-bearing vegetables"
1133,growing of onion
1134,"growing of carrots, beets,turnips, garlic, leeks and other root, bulb vegetables"
1135,"growing of potatoes and other tubers such as sweet potatoes, cassava, yarms"
1136,growing of mushrooms and truffles
1137,growing of vegetable seeds (except beet seed)
1139,"growing of vegetables, n.e.c."
1140,growing of sugar cane
1150,growing of tobacco
1161,growing of cotton
1162,growing of jute
1169,growing of other fibre crops
1191,growing of rose
1192,growing of gladiolus
1193,"growing of other flowers, including production of cut flowers, flower buds and flower seeds"
1199,growing of other non-perennial crops including beet seed and padding materials
1210,growing of grapes
1221,growing of mangoes
1222,growing of bananas
1223,growing of pineapples
1224,growing of lichchis
1225,growing of guava
1229,growing of other tropical and sub tropical fruits
1231,growing of oranges
1232,growing of mousambi (grape fruit)
1233,growing of lemons and lime
1239,growing of other citrus fruits
1241,growing of apples
1242,"growing of appricots, peaches and nectarines"
1243,growing of cherries and sour cherries
1249,growing of other pome fruits and stone fruits
1251,growing of strawberries and other berries
1252,"growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts pistachios, walnuts and other nuts)"
1259,"growing of other tree and bush fruits, n.e.c."
1261,growing of coconut
1262,growing of olives and oil palms
1269,growing of other oleaginous fruits
1271,growing of tea
1272,growing of coffee
1273,growing of cocoa
1279,growing of other beverage crops
1281,growing of ginger
1282,growing of chili
1283,growing of cardamoms
