nic_code,nic_description
01111,Growing of wheat
01112,"Growing of jowar, bajra and millets"
01113,Growing of other cereals
01114,"Growing of pulses (dal) and other leguminous crops such as peas and beans,"
01115,Growing of mustard oil seed
01116,Growing of groundnut oil seed
01117,Growing of sunflower oil seed
01118,Growing of soya bean oil seed
01119,Growing of other oil seeds
01121,Organic farming of basmati rice
01122,Organic farming of non-basmati rice
01123,Inorganic farming of basmati rice
01124,Inorganic farming of non-basmati rice
01131,"Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory,"
01132,"Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons,"
01133,Growing of onion
01134,"Growing of carrots, beets,turnips, garlic, leeks and other root, bulb"
01135,"Growing of potatoes and other tubers such as sweet potatoes, cassava,"
01136,Growing of mushrooms and truffles
01137,Growing of vegetable seeds (except beet seed)
01139,"Growing of vegetables, n.e.c."
01140,Growing of sugar cane
01150,Growing of tobacco
01161,Growing of cotton
01162,Growing of jute
01169,Growing of other fibre crops
01191,Growing of rose
01192,Growing of gladiolus
01193,"Growing of other flowers, including production of cut flowers, flower buds"
01199,Growing of other non-perennial crops including beet seed and padding
01210,Growing of grapes
01221,Growing of mangoes
01222,Growing of bananas
01223,Growing of pineapples
01224,Growing of lichchis
01225,Growing of guava
01229,Growing of other tropical and sub tropical fruits
01231,Growing of oranges
01232,Growing of mousambi (grape fruit)
01233,Growing of lemons and lime
01239,Growing of other citrus fruits
01241,Growing of apples
01242,"Growing of appricots, peaches and nectarines"
01243,Growing of cherries and sour cherries
01249,Growing of other pome fruits and stone fruits
01251,Growing of strawberries and other berries
01252,"Growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts"
01259,"Growing of other tree and bush fruits, n.e.c."
01261,Growing of coconut
01262,Growing of olives and oil palms
01269,Growing of other oleaginous fruits
01271,Growing of tea
01272,Growing of coffee
01273,Growing of cocoa
01279,Growing of other beverage crops
01281,Growing of ginger
01282,Growing of chili
01283,Growing of cardamoms
01284,"Growing of perennial and non-perennial spices and aromatic crops (pepper,"
01285,Growing of drug and narcotic crops
01286,"Growing of plants used primarily in perfumery, in pharmacy or for"
01287,Growing of heena leaves (mehendi)
01291,Growing of rubber trees
01292,Growing of trees for extraction of sap
01293,Growing of bamboo and cane
01299,"Growing of other perennial crops, n.e.c."
01301,Growing of plants for planting
01411,Raising and breeding of cattle and buffaloes
01412,Production of milk from cows or buffaloes
01413,Production of bovine semen
