business_description,nic_code,nic_description
Our business specializes in growing of wheat.,1111,Growing of wheat
We provide services related to growing of wheat.,1111,Growing of wheat
We are engaged in growing of wheat in our region.,1111,Growing of wheat
"Our business specializes in growing of jowar, bajra and millets.",1112,"Growing of jowar, bajra and millets"
"We provide services related to growing of jowar, bajra and millets.",1112,"Growing of jowar, bajra and millets"
"We are engaged in growing of jowar, bajra and millets in our region.",1112,"Growing of jowar, bajra and millets"
Our business specializes in growing of other cereals.,1113,Growing of other cereals
We provide services related to growing of other cereals.,1113,Growing of other cereals
We are engaged in growing of other cereals in our region.,1113,Growing of other cereals
Our farm cultivates rice and wheat using natural methods.,1114,"Growing of pulses (dal) and other leguminous crops such as peas and beans,"
We grow seasonal vegetables and sell them to local markets.,1114,"Growing of pulses (dal) and other leguminous crops such as peas and beans,"
A family-run land where cereals and pulses are harvested.,1114,"Growing of pulses (dal) and other leguminous crops such as peas and beans,"
Our business specializes in growing of mustard oil seed.,1115,Growing of mustard oil seed
We provide services related to growing of mustard oil seed.,1115,Growing of mustard oil seed
We are engaged in growing of mustard oil seed in our region.,1115,Growing of mustard oil seed
Our business specializes in growing of groundnut oil seed.,1116,Growing of groundnut oil seed
We provide services related to growing of groundnut oil seed.,1116,Growing of groundnut oil seed
We are engaged in growing of groundnut oil seed in our region.,1116,Growing of groundnut oil seed
Our business specializes in growing of sunflower oil seed.,1117,Growing of sunflower oil seed
We provide services related to growing of sunflower oil seed.,1117,Growing of sunflower oil seed
We are engaged in growing of sunflower oil seed in our region.,1117,Growing of sunflower oil seed
Our business specializes in growing of soya bean oil seed.,1118,Growing of soya bean oil seed
We provide services related to growing of soya bean oil seed.,1118,Growing of soya bean oil seed
We are engaged in growing of soya bean oil seed in our region.,1118,Growing of soya bean oil seed
Our business specializes in growing of other oil seeds.,1119,Growing of other oil seeds
We provide services related to growing of other oil seeds.,1119,Growing of other oil seeds
We are engaged in growing of other oil seeds in our region.,1119,Growing of other oil seeds
Our farm cultivates rice and wheat using natural methods.,1121,Organic farming of basmati rice
We grow seasonal vegetables and sell them to local markets.,1121,Organic farming of basmati rice
A family-run land where cereals and pulses are harvested.,1121,Organic farming of basmati rice
Our farm cultivates rice and wheat using natural methods.,1122,Organic farming of non-basmati rice
We grow seasonal vegetables and sell them to local markets.,1122,Organic farming of non-basmati rice
